Academic Term,Award Year,YearTerm_Key,Sport Name
"Fall 2025",2025,"2025_Fall 2025","Baseball"
"Fall 2024",2024,"2024_Fall 2024","Baseball"
"Spring 2025",2024,"2024_Spring 2025","Baseball"
"Summer 2025",2024,"2024_Summer 2025","Baseball"
"Fall 2023",2023,"2023_Fall 2023","Baseball"
"Spring 2024",2023,"2023_Spring 2024","Baseball"
"Summer 2024",2023,"2023_Summer 2024","Baseball"
"SCP Summer 2023",2022,"2022_SCP Summer 2023","Baseball"
"Spring 2023",2022,"2022_Spring 2023","Basketball"
"Summer 2023",2022,"2022_Summer 2023","Basketball"
"SCP Spring 2022",2021,"2021_SCP Spring 2022","Baseball"
"SCP Summer 2022",2021,"2021_SCP Summer 2022","Basketball"
"Spring 2022",2021,"2021_Spring 2022","Baseball"
"OMP Spring 2021",2020,"2020_OMP Spring 2021","Baseball"
"SCP Spring 2021",2020,"2020_SCP Spring 2021","Baseball"
"Spring 2021",2020,"2020_Spring 2021","Baseball"
"2cd Chance Pell Fall 2019",2019,"2019_2cd Chance Pell Fall 2019","Baseball"
"2cd Chance Pell Spring 2020",2019,"2019_2cd Chance Pell Spring 2020","Baseball"
"2cd Chance Pell Summer 2020",2019,"2019_2cd Chance Pell Summer 2020","Baseball"
"Fall 2019",2019,"2019_Fall 2019","Baseball"
"Fall 2019 Online",2019,"2019_Fall 2019 Online","Baseball"
"Fall 2019 Online Part-Time",2019,"2019_Fall 2019 Online Part-Time","Baseball"
"OMP Fall 2019",2019,"2019_OMP Fall 2019","Baseball"
"OMP Spring 2020",2019,"2019_OMP Spring 2020","Baseball"
"Spring 2020",2019,"2019_Spring 2020","Baseball"
"Spring 2020 Online",2019,"2019_Spring 2020 Online","Baseball"
"Spring 2020 Online Part-Time",2019,"2019_Spring 2020 Online Part-Time","Baseball"
"Summer 2020",2019,"2019_Summer 2020","Baseball"
"Summer 2020 Online",2019,"2019_Summer 2020 Online","Baseball"
"Fall 2018",2018,"2018_Fall 2018","Baseball"
"FALL SAP",2018,"2018_FALL SAP","Baseball"
"Fall SC 2018",2018,"2018_Fall SC 2018","Baseball"
"Spring 2019",2018,"2018_Spring 2019","Baseball"
"Spring SC 2019",2018,"2018_Spring SC 2019","Baseball"
"Summer 18 Header",2018,"2018_Summer 18 Header","Baseball"
"Summer 2019",2018,"2018_Summer 2019","Baseball"
"Summer SC 2019",2018,"2018_Summer SC 2019","Baseball"
"Fall 2017",2017,"2017_Fall 2017","Baseball"
"Spring 2018",2017,"2017_Spring 2018","Baseball"
"Summer 2018",2017,"2017_Summer 2018","Baseball"
