Academic Term,Award Year,Sport Name,Total Athletes,Male Athletes,Female Athletes,Average Career GPA,Average Hours Earned
"Fall 2025",2025,"Baseball",39,33,5,1.90181666666667,44.1666666666667
"Fall 2025",2025,"Basketball",77,45,29,1.16024285714286,29.4285714285714
"Fall 2025",2025,"Track & Field",91,44,45,0.786791666666667,22.6666666666667
"Fall 2025",2025,"Volleyball",8,0,8,,
"Fall 2024",2024,"Baseball",34,28,5,1.18198181818182,26
"Fall 2024",2024,"Basketball",62,38,24,0.840371428571429,9.71428571428571
"Fall 2024",2024,"Track & Field",66,31,35,1.26084285714286,13.3809523809524
"Fall 2024",2024,"Volleyball",2,0,2,,
"Spring 2025",2024,"Baseball",33,25,5,1.20867647058824,27.6470588235294
"Spring 2025",2024,"Basketball",109,72,36,1.18483,16.5666666666667
"Spring 2025",2024,"Track & Field",77,40,35,1.12235,21.4166666666667
"Spring 2025",2024,"Volleyball",7,0,7,,
"Summer 2025",2024,"Baseball",51,51,0,1.28815652173913,17.3478260869565
"Summer 2025",2024,"Basketball",49,28,21,1.97031290322581,38.3870967741936
"Summer 2025",2024,"Track & Field",37,26,11,1.553475,27.3571428571429
"Fall 2023",2023,"Baseball",27,22,4,0.336,11.1935483870968
"Fall 2023",2023,"Basketball",45,25,19,0.399525,10.0961538461538
"Fall 2023",2023,"Track & Field",42,21,20,0.432566666666667,12.1666666666667
"Spring 2024",2023,"Baseball",55,47,8,0.774706666666667,9.50666666666667
"Spring 2024",2023,"Basketball",119,76,43,0.772344295302013,14.0805369127517
"Spring 2024",2023,"Track & Field",91,47,44,0.781208411214954,12.9532710280374
"Spring 2024",2023,"Volleyball",4,1,3,0,0
"Summer 2024",2023,"Baseball",31,26,5,1.01758679245283,19.2075471698113
"Summer 2024",2023,"Basketball",27,16,11,2.09820303030303,41.5151515151515
"Summer 2024",2023,"Track & Field",23,13,10,1.45147142857143,30.7142857142857
"SCP Summer 2023",2022,"Baseball",36,36,0,3.00449473684211,81.7236842105263
"SCP Summer 2023",2022,"Basketball",16,7,9,2.87668666666667,110.8
"SCP Summer 2023",2022,"Track & Field",16,13,3,2.70636842105263,70.0526315789474
"SCP Summer 2023",2022,"Volleyball",6,0,6,2.38966666666667,90.8888888888889
"Spring 2023",2022,"Basketball",1,1,0,0,0
"Summer 2023",2022,"Basketball",2,0,2,2.9034,145
"SCP Spring 2022",2021,"Baseball",1,1,0,1.4545,21
"SCP Spring 2022",2021,"Volleyball",3,0,3,3.5862,87
"SCP Summer 2022",2021,"Basketball",2,2,0,2.625,34.5
"Spring 2022",2021,"Baseball",1,1,0,1.4545,21
"Spring 2022",2021,"Volleyball",3,0,3,3.5862,87
"OMP Spring 2021",2020,"Baseball",1,1,0,0,0
"OMP Spring 2021",2020,"Basketball",1,0,0,,
"OMP Spring 2021",2020,"Track & Field",2,1,1,1.78293333333333,25.3333333333333
"SCP Spring 2021",2020,"Baseball",1,1,0,0,0
"SCP Spring 2021",2020,"Basketball",1,0,0,,
"SCP Spring 2021",2020,"Track & Field",2,1,1,1.78293333333333,25.3333333333333
"Spring 2021",2020,"Baseball",1,1,0,0,0
"Spring 2021",2020,"Basketball",1,0,0,,
"Spring 2021",2020,"Track & Field",2,1,1,1.78293333333333,25.3333333333333
"2cd Chance Pell Fall 2019",2019,"Baseball",8,8,0,1.96685,75.5
"2cd Chance Pell Fall 2019",2019,"Basketball",78,35,43,1.22291111111111,25.8888888888889
"2cd Chance Pell Fall 2019",2019,"Track & Field",24,13,11,2.368,94.5
"2cd Chance Pell Fall 2019",2019,"Volleyball",7,0,7,,
"2cd Chance Pell Spring 2020",2019,"Baseball",19,15,4,0.5635,15.5
"2cd Chance Pell Spring 2020",2019,"Basketball",103,55,45,0.849957142857143,28.4285714285714
"2cd Chance Pell Spring 2020",2019,"Track & Field",38,14,20,1.34715,45
"2cd Chance Pell Spring 2020",2019,"Volleyball",3,0,3,,
"2cd Chance Pell Summer 2020",2019,"Baseball",3,1,2,,
"2cd Chance Pell Summer 2020",2019,"Basketball",4,2,2,0,0
"2cd Chance Pell Summer 2020",2019,"Track & Field",3,3,0,0,0
"Fall 2019",2019,"Baseball",8,8,0,1.96685,75.5
"Fall 2019",2019,"Basketball",78,35,43,1.22291111111111,25.8888888888889
"Fall 2019",2019,"Track & Field",24,13,11,2.368,94.5
"Fall 2019",2019,"Volleyball",7,0,7,,
"Fall 2019 Online",2019,"Baseball",8,8,0,1.96685,75.5
"Fall 2019 Online",2019,"Basketball",78,35,43,1.22291111111111,25.8888888888889
"Fall 2019 Online",2019,"Track & Field",24,13,11,2.368,94.5
"Fall 2019 Online",2019,"Volleyball",7,0,7,,
"Fall 2019 Online Part-Time",2019,"Baseball",8,8,0,1.96685,75.5
"Fall 2019 Online Part-Time",2019,"Basketball",78,35,43,1.22291111111111,25.8888888888889
"Fall 2019 Online Part-Time",2019,"Track & Field",24,13,11,2.368,94.5
"Fall 2019 Online Part-Time",2019,"Volleyball",7,0,7,,
"OMP Fall 2019",2019,"Baseball",11,11,0,1.96685,75.5
"OMP Fall 2019",2019,"Basketball",157,70,87,1.33635384615385,38.3076923076923
"OMP Fall 2019",2019,"Track & Field",32,17,15,1.72906,57.6
"OMP Fall 2019",2019,"Volleyball",18,1,17,,
"OMP Spring 2020",2019,"Baseball",20,16,4,0.5635,15.5
"OMP Spring 2020",2019,"Basketball",106,58,45,0.849957142857143,28.4285714285714
"OMP Spring 2020",2019,"Track & Field",39,15,20,1.34715,45
"OMP Spring 2020",2019,"Volleyball",3,0,3,,
"Spring 2020",2019,"Baseball",19,15,4,0.5635,15.5
"Spring 2020",2019,"Basketball",103,55,45,0.849957142857143,28.4285714285714
"Spring 2020",2019,"Track & Field",38,14,20,1.34715,45
"Spring 2020",2019,"Volleyball",3,0,3,,
"Spring 2020 Online",2019,"Baseball",19,15,4,0.5635,15.5
"Spring 2020 Online",2019,"Basketball",103,55,45,0.849957142857143,28.4285714285714
"Spring 2020 Online",2019,"Track & Field",38,14,20,1.34715,45
"Spring 2020 Online",2019,"Volleyball",3,0,3,,
"Spring 2020 Online Part-Time",2019,"Baseball",19,15,4,0.5635,15.5
"Spring 2020 Online Part-Time",2019,"Basketball",103,55,45,0.849957142857143,28.4285714285714
"Spring 2020 Online Part-Time",2019,"Track & Field",38,14,20,1.34715,45
"Spring 2020 Online Part-Time",2019,"Volleyball",3,0,3,,
"Summer 2020",2019,"Baseball",3,1,2,,
"Summer 2020",2019,"Basketball",5,2,3,1.527975,36.5
"Summer 2020",2019,"Track & Field",4,4,0,0.24864,5
"Summer 2020 Online",2019,"Baseball",3,1,2,,
"Summer 2020 Online",2019,"Basketball",4,2,2,0,0
"Summer 2020 Online",2019,"Track & Field",3,3,0,0,0
"Fall 2018",2018,"Baseball",17,15,2,0.87305,31
"Fall 2018",2018,"Basketball",46,33,13,0.923295454545455,13.9545454545455
"Fall 2018",2018,"Track & Field",32,16,16,1.41069230769231,14.3076923076923
"FALL SAP",2018,"Baseball",40,32,8,1.50771212121212,49.3636363636364
"FALL SAP",2018,"Basketball",78,52,26,1.03300684931507,18.5205479452055
"FALL SAP",2018,"Track & Field",57,33,24,1.3317275862069,20.2413793103448
"Fall SC 2018",2018,"Baseball",30,24,6,1.340895,40
"Fall SC 2018",2018,"Basketball",62,42,20,1.03496315789474,18.4210526315789
"Fall SC 2018",2018,"Track & Field",45,24,21,1.5643652173913,24.6086956521739
"Spring 2019",2018,"Baseball",25,18,7,1.47053333333333,22.3333333333333
"Spring 2019",2018,"Basketball",55,34,21,1.36533043478261,27.8260869565217
"Spring 2019",2018,"Track & Field",68,31,37,1.509364,30.44
"Spring SC 2019",2018,"Baseball",27,20,7,1.47053333333333,22.3333333333333
"Spring SC 2019",2018,"Basketball",57,35,22,1.256104,25.6
"Spring SC 2019",2018,"Track & Field",70,31,39,1.509364,30.44
"Summer 18 Header",2018,"Baseball",18,15,3,1.992505,67.8
"Summer 18 Header",2018,"Basketball",23,13,10,1.2399380952381,27.6190476190476
"Summer 18 Header",2018,"Track & Field",18,12,6,1.23819,27
"Summer 2019",2018,"Baseball",12,8,4,2.0776625,54.625
"Summer 2019",2018,"Basketball",23,13,10,1.39235625,27.5
"Summer 2019",2018,"Track & Field",21,10,11,1.54542307692308,26.2307692307692
"Summer SC 2019",2018,"Baseball",19,15,4,1.90139090909091,43
"Summer SC 2019",2018,"Basketball",35,22,13,1.61909523809524,38.8719047619048
"Summer SC 2019",2018,"Track & Field",32,15,17,1.538175,25
"Fall 2017",2017,"Baseball",27,23,4,0.944653333333333,27.1333333333333
"Fall 2017",2017,"Basketball",78,51,26,1.16997647058824,23.2356862745098
"Fall 2017",2017,"Track & Field",59,31,27,1.24874333333333,25.734
"Spring 2018",2017,"Baseball",12,11,1,1.4221,45
"Spring 2018",2017,"Basketball",29,19,10,2.26577142857143,66.5714285714286
"Spring 2018",2017,"Track & Field",33,19,14,1.78332,50.4
"Summer 2018",2017,"Baseball",21,16,5,2.2986125,75.4583333333333
"Summer 2018",2017,"Basketball",40,28,12,1.35030571428571,28.0857142857143
"Summer 2018",2017,"Track & Field",40,22,18,1.81554117647059,32.8823529411765
"Summer 2018",2017,"Volleyball",1,0,1,0,0
