"Term","AwardYear","Sport","ScholarshipStatus","TotalStudents","AvgCareerGPA","AvgHoursEarned","AvgHoursAttempted","Students_GPA_Above_3_5","Students_GPA_3_0_to_3_5","Students_GPA_2_5_to_3_0","Students_GPA_Below_2_5"
"Fall 2025","2025","Baseball","No Scholarship","38","1.7679","43.2","44.4","1","0","2","2"
"Fall 2025","2025","Baseball","On Scholarship","1","2.5714","49","49","0","0","1","0"
"Fall 2025","2025","Basketball","No Scholarship","77","1.16024285714286","29.4285714285714","41.1428571428571","1","0","0","6"
"Fall 2025","2025","Track & Field","No Scholarship","91","0.786791666666667","22.6666666666667","28.75","0","0","1","10"
"Fall 2025","2025","Volleyball","No Scholarship","8","","","","0","0","0","0"
"Fall 2024","2024","Baseball","No Scholarship","34","1.18198181818182","26","31.2727272727273","1","0","2","6"
"Fall 2024","2024","Basketball","No Scholarship","62","0.840371428571429","9.71428571428571","18.0714285714286","1","0","1","11"
"Fall 2024","2024","Track & Field","No Scholarship","66","1.26084285714286","13.3809523809524","18.7619047619048","1","4","1","13"
"Fall 2024","2024","Volleyball","No Scholarship","2","","","","0","0","0","0"
"Spring 2025","2024","Baseball","No Scholarship","33","1.20867647058824","27.6470588235294","28.3529411764706","1","1","3","12"
"Spring 2025","2024","Basketball","No Scholarship","109","1.18483","16.5666666666667","18.5","1","2","7","20"
"Spring 2025","2024","Track & Field","No Scholarship","77","1.12235","21.4166666666667","25.5833333333333","1","3","5","21"
"Spring 2025","2024","Volleyball","No Scholarship","7","","","","0","0","0","0"
"Summer 2025","2024","Baseball","No Scholarship","51","1.28815652173913","17.3478260869565","17.3478260869565","4","0","3","12"
"Summer 2025","2024","Basketball","No Scholarship","49","1.97031290322581","38.3870967741936","39.5806451612903","4","9","2","14"
"Summer 2025","2024","Track & Field","No Scholarship","37","1.553475","27.3571428571429","27.6428571428571","4","4","2","15"
"Fall 2023","2023","Baseball","No Scholarship","27","0.336","11.1935483870968","13.7741935483871","0","1","1","21"
"Fall 2023","2023","Basketball","No Scholarship","45","0.399525","10.0961538461538","14.4423076923077","0","1","2","37"
"Fall 2023","2023","Track & Field","No Scholarship","42","0.432566666666667","12.1666666666667","15.0925925925926","1","1","3","35"
"Spring 2024","2023","Baseball","No Scholarship","55","0.774706666666667","9.50666666666667","10.9466666666667","5","4","3","43"
"Spring 2024","2023","Basketball","No Scholarship","119","0.772344295302013","14.0805369127517","15.5704697986577","12","7","6","92"
"Spring 2024","2023","Track & Field","No Scholarship","91","0.781208411214953","12.9532710280374","15.5981308411215","3","5","3","78"
"Spring 2024","2023","Volleyball","No Scholarship","4","0","0","0","0","0","0","4"
"Summer 2024","2023","Baseball","No Scholarship","31","1.01758679245283","19.2075471698113","22.5283018867925","3","2","5","20"
"Summer 2024","2023","Basketball","No Scholarship","27","2.09820303030303","41.5151515151515","43.7575757575758","2","7","4","14"
"Summer 2024","2023","Track & Field","No Scholarship","23","1.45147142857143","30.7142857142857","32.6071428571429","1","4","2","16"
"SCP Summer 2023","2022","Baseball","No Scholarship","36","3.00449473684211","81.7236842105263","83.9342105263158","7","13","10","7"
"SCP Summer 2023","2022","Basketball","No Scholarship","16","2.87668666666667","110.8","113.333333333333","3","5","4","3"
"SCP Summer 2023","2022","Track & Field","No Scholarship","16","2.70636842105263","70.0526315789474","74.9473684210526","5","6","3","5"
"SCP Summer 2023","2022","Volleyball","No Scholarship","6","2.38966666666667","90.8888888888889","92","1","2","2","3"
"Spring 2023","2022","Basketball","No Scholarship","1","0","0","0","0","0","0","1"
"Summer 2023","2022","Basketball","No Scholarship","2","2.9034","145","145","0","0","1","0"
"SCP Spring 2022","2021","Baseball","No Scholarship","1","1.4545","21","33","0","0","0","1"
"SCP Spring 2022","2021","Volleyball","No Scholarship","3","3.5862","87","87","1","0","0","0"
"SCP Summer 2022","2021","Basketball","No Scholarship","2","2.625","34.5","40","0","1","0","1"
"Spring 2022","2021","Baseball","No Scholarship","1","1.4545","21","33","0","0","0","1"
"Spring 2022","2021","Volleyball","No Scholarship","3","3.5862","87","87","1","0","0","0"
"OMP Spring 2021","2020","Baseball","No Scholarship","1","0","0","0","0","0","0","1"
"OMP Spring 2021","2020","Basketball","No Scholarship","1","","","","0","0","0","0"
