"Term","AwardYear","Sport","TotalScholarshipAthletes","TotalScholarshipDollars","AvgScholarshipAmount","MinScholarship","MaxScholarship"
"Fall 2025","2025","Baseball","32","99469.00","3108.406250","0.00","8750.00"
"Fall 2025","2025","Basketball","16","39966.00","2497.875000","1350.00","3250.00"
"Fall 2025","2025","Soccer","35","101651.00","2904.314285","0.00","5000.00"
"Fall 2025","2025","Track & Field","23","55654.00","2419.739130","500.00","3750.00"
"Fall 2025","2025","Volleyball","17","55000.00","3235.294117","2500.00","8750.00"
"MAST Fall 2025","2025","Soccer","1","7500.00","7500.000000","7500.00","7500.00"
"MAST Fall 2025","2025","Track & Field","2","7500.00","3750.000000","3750.00","3750.00"
"Fall 2024","2024","Baseball","28","94000.00","3357.142857","0.00","8750.00"
"Fall 2024","2024","Basketball","14","42500.00","3035.714285","250.00","5000.00"
"Fall 2024","2024","Soccer","15","51402.00","3426.800000","2500.00","4652.00"
"Fall 2024","2024","Track & Field","6","14908.00","2484.666666","1250.00","3750.00"
"Fall 2024","2024","Volleyball","17","67459.00","3968.176470","2250.00","8750.00"
"MAST Fall 2024","2024","Basketball","2","7500.00","3750.000000","3750.00","3750.00"
"MAST Spring 2025","2024","Basketball","2","7500.00","3750.000000","3750.00","3750.00"
"Spring 2025","2024","Baseball","24","84750.00","3531.250000","0.00","8750.00"
"Spring 2025","2024","Basketball","14","42360.00","3025.714285","110.00","5000.00"
"Spring 2025","2024","Soccer","20","67403.00","3370.150000","0.00","5000.00"
"Spring 2025","2024","Track & Field","5","11718.00","2343.600000","1250.00","3718.00"
"Spring 2025","2024","Volleyball","17","67451.00","3967.705882","2250.00","8750.00"
"Fall 2023","2023","Baseball","32","104750.00","3273.437500","2000.00","8500.00"
"Fall 2023","2023","Basketball","14","53350.00","3810.714285","2352.00","6500.00"
"Fall 2023","2023","Soccer","10","31415.00","3141.500000","1631.00","3750.00"
"Fall 2023","2023","Track & Field","13","29650.00","2280.769230","0.00","3750.00"
"Fall 2023","2023","Volleyball","11","28613.00","2601.181818","431.00","4500.00"
"Spring 2024","2023","Baseball","35","120222.00","3434.914285","2000.00","8500.00"
"Spring 2024","2023","Basketball","13","49603.00","3815.615384","2353.00","6500.00"
"Spring 2024","2023","Soccer","13","39915.00","3070.384615","1630.00","3750.00"
"Spring 2024","2023","Track & Field","15","38549.00","2569.933333","1000.00","3750.00"
"Spring 2024","2023","Volleyball","11","28047.00","2549.727272","564.00","3750.00"
