fund_token,award_year_token,sel_set_year_token,fund_family,fund_ledger_number,fund_list_sequence,fund_long_name,fund_short_name,fund_desc,fund_type,fund_source,fund_gov_id,fund_lock,scan_group_1,fund_min,fund_max,fund_balance,fund_number_award,fund_amt_award,fund_number_accept,fund_amt_accept,fund_amt_paid,fund_number_paid,fund_available_dollars,fund_rounding,fund_distribution,fund_disbursement,fund_alternate,fund_real_dollars,fund_tfc_replacement,fund_need_based,fund_equity_offset,net_proceeds_percent,message_token,non_pars_flag,scan_group_2,direct_loan,dflt_ln_interest_rate,dflt_ln_deferment_request,dflt_ln_capitalize_interest,dflt_ln_eft_authorization,dflt_ln_borrower_signature,dflt_ln_first_time_borrower,ext_fund_code,fund_grant_subtype,fund_loan_subtype,alternative_loan,alp_loan_program_id,alp_lender,alp_guarantor,loan_type,anticipated,fund_external_name,fund_family_2,renewable,renew_increment_type,renew_increment_amt,renew_default_status,bypass_disb_rules,web_description,include_in_need_based,hold_release_flag,direct_loan_disbursement_option,fund_reduce_netpartner,web_display,alt_fund_satisfactory_progress,fin_aid_disclosure_category,report_as_additional_unsub,gainful_employment_reporting,bypass_ext_disb_tracking_status,unreconciled_changes,reconciliation_date,estimated_award,disburse_estimated,cod_reporting_if_estimated,default_award_status,web_display_awards_page,web_display_accept_awards_page,active_fund,bypass_fed_pack_requirements,fund_job_subtype,date_message_assigned,disb_to_date_option,cfp_category,bypass_coa,include_in_CDS,include_in_IPEDS,include_in_LCME,origination_fee,fvt_gv_fund_rep_type,File_Name,Snapshot_Date
1,1999,233,null,null,1,Federal Pell Grant,PELL,Federal Pell Gran,G,F,L,null,null,300,3125,1000000,508,1179585,440,995010,958079,427,0,0,null,Y,null,0,N,Y,N,null,1,Y,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,N,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
4,1999,233,null,null,6,Direct Subsidized Loan,SUB-DL,Direct Subsidized Loan,L,F,G,null,null,5500,5500,999999,285,815761,285,815761,820138,284,184238,0,1,Y,null,999000,N,Y,N,null,null,N,null,Y,8.25,Y,null,Y,Y,Y,null,null,STU,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
5,1999,243,null,null,2,Supplemental Educational Opportunity Gra,SEOG,Supplemental Educational Opportunity Grant,G,F,S,null,null,500,2640,375000,152,293797,152,293797,283034,147,81203,0,1,Y,null,350000,null,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
7,1999,233,null,null,3,Federal Work Study,FWS,Federal Work Study,J,F,W,null,null,750,1500,264000,201,225902,200,225200,0,0,38098,0,1,N,null,261000,null,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,N,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
8,1999,233,null,null,10,Direct Unsubsidized Loan,UNSUB-DL,Direct Unsubsidized Loan,L,F,U,N,null,5500,5500,2000000,43,87424,42,84424,69826,36,1912576,0,1,Y,null,2000000,Y,N,N,null,null,N,null,Y,8.25,Y,null,Y,Y,Y,null,null,STU,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
9,1999,240,null,null,4,Texas Equalization Grant,TEG,Tuition Equalization Grant,G,S,null,null,null,1000,2550,500000,209,473739,209,473739,470946,209,26261,0,1,Y,null,500000,null,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
10,1999,233,null,null,9,Academic Scholarship,ACADEMIC,Academic Scholarship,G,I,null,null,null,1000,5000,50000,1,1000,1,1000,1000,1,49000,0,1,Y,null,50000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
11,1999,233,null,null,902,Presidential Scholarship,PRESIDENT,Presidential Scholarship,G,I,null,null,null,5000,5000,100000,3,19760,3,19760,13994,2,80240,0,1,Y,null,100000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
12,1999,233,null,null,14,Direct PLUS Loan,PLUS,Direct PLUS Loan,L,F,P,null,null,400,10000,200000,14,46401,14,46401,46401,14,153599,0,1,Y,null,200000,Y,N,N,null,null,N,null,N,null,null,null,Y,Y,Y,null,null,PAR,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
13,1999,233,null,null,4,Institutional Work Study,IWS,Institutional Work Study,J,I,null,null,null,1500,1500,45000,30,37224,30,37224,0,0,7776,0,1,N,null,45000,N,N,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,N,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
